date,open,high,low,close,volume,symbol
2025-01-04,87.83,89.79,87.43,88.13,4728708,603259.SH
2025-01-05,88.02,88.36,87.2,88.12,4397477,603259.SH
2025-01-06,89.12,90.27,87.96,89.33,5491954,603259.SH
2025-01-07,87.99,89.41,87.49,88.26,4420607,603259.SH
2025-01-08,87.57,88.84,86.72,88.2,4489147,603259.SH
2025-01-09,89.1,90.54,88.94,89.14,5588334,603259.SH
2025-01-10,89.46,90.79,88.56,89.51,4576216,603259.SH
2025-01-11,88.34,89.8,88.13,88.43,5220180,603259.SH
2025-01-12,86.99,87.98,86.97,87.05,4656841,603259.SH
2025-01-13,86.72,87.1,86.2,86.75,3799084,603259.SH
2025-01-14,86.99,88.6,87.25,87.63,4056791,603259.SH
2025-01-15,86.05,86.34,84.71,86.11,4920219,603259.SH
2025-01-16,85.1,86.09,85.0,85.34,4577468,603259.SH
2025-01-17,85.25,86.14,85.37,86.02,4504005,603259.SH
2025-01-18,86.32,86.88,86.18,86.68,4306377,603259.SH
2025-01-19,85.88,87.42,84.51,86.15,5212402,603259.SH
2025-01-20,86.46,87.31,86.74,86.9,5491399,603259.SH
2025-01-21,84.8,86.64,84.47,85.4,5031038,603259.SH
2025-01-22,83.48,84.43,82.46,83.71,3872251,603259.SH
2025-01-23,82.12,83.73,81.4,82.27,4776227,603259.SH
2025-01-24,82.35,84.63,81.52,83.11,5035624,603259.SH
2025-01-25,83.62,84.17,82.76,84.15,4310183,603259.SH
2025-01-26,83.61,84.32,83.14,83.91,5630291,603259.SH
2025-01-27,81.95,82.67,81.86,82.41,5508219,603259.SH
2025-01-28,82.03,83.52,80.75,82.1,4336312,603259.SH
2025-01-29,82.48,83.85,82.38,82.85,4421387,603259.SH
2025-01-30,82.6,84.77,82.62,83.22,4979571,603259.SH
2025-01-31,84.21,85.1,84.21,84.84,5131141,603259.SH
2025-02-01,85.49,87.28,85.95,86.07,5215012,603259.SH
2025-02-02,85.26,85.83,84.24,85.28,4535642,603259.SH
2025-02-03,85.35,86.63,85.15,85.57,5632107,603259.SH
2025-02-04,83.6,83.94,83.52,83.86,4657004,603259.SH
2025-02-05,84.82,85.81,83.96,85.08,5420028,603259.SH
2025-02-06,84.14,85.02,83.51,84.5,4060836,603259.SH
2025-02-07,83.59,84.38,84.21,84.33,4805808,603259.SH
2025-02-08,83.16,84.86,82.41,83.72,4392907,603259.SH
2025-02-09,82.89,83.77,82.57,83.12,5273774,603259.SH
2025-02-10,81.29,82.23,80.7,81.66,5546942,603259.SH
2025-02-11,82.34,84.0,81.35,82.86,4522556,603259.SH
2025-02-12,83.17,85.15,83.05,83.64,5485928,603259.SH
2025-02-13,83.56,84.46,82.8,83.73,4227475,603259.SH
