date,open,high,low,close,volume,symbol
2025-01-04,86.76,87.28,86.72,87.18,3055339,002821.SZ
2025-01-05,87.72,89.06,87.27,88.53,3238517,002821.SZ
2025-01-06,89.45,90.42,88.69,89.87,3513575,002821.SZ
2025-01-07,88.18,90.07,87.31,89.04,3048592,002821.SZ
2025-01-08,87.5,89.19,86.46,87.74,4085064,002821.SZ
2025-01-09,86.04,88.33,86.32,86.78,3737179,002821.SZ
2025-01-10,85.77,87.93,86.34,86.42,4070135,002821.SZ
2025-01-11,84.38,86.24,84.18,84.82,4031006,002821.SZ
2025-01-12,83.38,84.12,82.93,84.01,3294713,002821.SZ
2025-01-13,84.39,86.34,83.41,84.89,4085822,002821.SZ
2025-01-14,86.5,86.88,86.1,86.57,4151478,002821.SZ
2025-01-15,85.98,86.81,84.96,86.02,4188777,002821.SZ
2025-01-16,85.37,86.48,84.01,85.61,3047678,002821.SZ
2025-01-17,86.32,88.6,86.64,87.11,3504563,002821.SZ
2025-01-18,87.28,88.85,85.96,87.51,3421772,002821.SZ
2025-01-19,87.55,89.12,86.62,87.56,3208717,002821.SZ
2025-01-20,88.74,89.46,88.07,89.21,3699302,002821.SZ
2025-01-21,89.24,90.25,89.05,89.34,4296618,002821.SZ
2025-01-22,89.25,91.12,89.62,90.14,4106545,002821.SZ
2025-01-23,88.34,89.81,87.04,88.37,3827582,002821.SZ
2025-01-24,89.37,89.71,89.09,89.46,4314644,002821.SZ
2025-01-25,90.53,91.57,89.94,90.58,3807812,002821.SZ
2025-01-26,91.38,93.29,91.42,91.89,3488254,002821.SZ
2025-01-27,93.04,95.17,92.31,93.4,3844762,002821.SZ
2025-01-28,94.48,94.63,92.99,94.61,3653665,002821.SZ
2025-01-29,92.35,94.03,92.85,93.19,3465501,002821.SZ
2025-01-30,92.1,93.72,92.54,93.01,3566836,002821.SZ
2025-01-31,91.13,92.82,91.35,91.47,4177603,002821.SZ
2025-02-01,92.36,93.3,92.31,93.26,3776302,002821.SZ
2025-02-02,90.84,92.12,91.73,91.74,3302646,002821.SZ
2025-02-03,92.74,94.87,92.71,93.33,3664319,002821.SZ
2025-02-04,91.75,93.38,91.65,91.92,3082697,002821.SZ
2025-02-05,90.29,92.76,90.58,91.18,4300011,002821.SZ
2025-02-06,91.4,91.97,90.58,91.61,3306884,002821.SZ
2025-02-07,90.01,91.61,89.64,90.04,3344891,002821.SZ
2025-02-08,88.31,89.04,87.4,88.49,3222127,002821.SZ
2025-02-09,86.39,86.89,86.65,86.78,3980221,002821.SZ
