date,open,high,low,close,volume,symbol
2025-01-03,29.2,29.8,29.33,29.4,3196202,601225.SH
2025-01-04,29.25,29.77,28.93,29.32,3085069,601225.SH
2025-01-05,28.86,29.29,28.58,29.13,3641247,601225.SH
2025-01-06,29.02,29.5,29.01,29.06,3996064,601225.SH
2025-01-07,29.36,29.88,29.27,29.59,3730466,601225.SH
2025-01-08,29.46,29.92,29.26,29.66,3649389,601225.SH
2025-01-09,29.45,29.84,29.64,29.73,3442817,601225.SH
2025-01-10,29.7,29.81,29.48,29.76,3128310,601225.SH
2025-01-11,29.32,30.03,29.01,29.56,3235503,601225.SH
2025-01-12,29.45,29.65,29.42,29.54,3317904,601225.SH
2025-01-13,28.98,29.45,28.98,29.26,3374915,601225.SH
2025-01-14,28.91,29.2,29.03,29.19,3651806,601225.SH
2025-01-15,29.2,29.61,29.24,29.42,3578816,601225.SH
2025-01-16,28.77,29.4,28.69,28.92,3193102,601225.SH
2025-01-17,28.33,28.44,27.94,28.35,2986409,601225.SH
2025-01-18,27.71,28.33,27.81,27.97,3409582,601225.SH
2025-01-19,27.96,28.44,27.49,27.99,3092874,601225.SH
2025-01-20,27.51,27.75,27.41,27.59,3883442,601225.SH
2025-01-21,27.88,28.43,27.7,28.02,3906738,601225.SH
2025-01-22,27.48,28.21,27.13,27.68,3263960,601225.SH
2025-01-23,27.47,27.92,27.27,27.52,2865460,601225.SH
2025-01-24,27.25,27.53,26.98,27.45,3019178,601225.SH
2025-01-25,27.49,27.73,27.21,27.63,3030876,601225.SH
2025-01-26,27.4,28.06,27.23,27.56,3345153,601225.SH
2025-01-27,27.33,27.66,27.02,27.51,4001228,601225.SH
2025-01-28,26.89,27.1,26.78,26.99,4094022,601225.SH
2025-01-29,27.03,27.49,26.73,27.2,3532135,601225.SH
2025-01-30,26.86,27.32,26.85,26.9,3472563,601225.SH
2025-01-31,26.6,26.9,26.36,26.65,2786904,601225.SH
2025-02-01,27.05,27.47,26.97,27.16,3886378,601225.SH
2025-02-02,26.82,27.32,26.75,26.88,3097826,601225.SH
2025-02-03,26.73,27.5,26.66,26.98,3473323,601225.SH
2025-02-04,26.61,26.97,26.49,26.87,3538459,601225.SH
2025-02-05,26.56,27.21,26.33,26.67,3573493,601225.SH
2025-02-06,26.63,26.77,26.27,26.72,3469922,601225.SH
2025-02-07,26.25,26.69,26.26,26.31,2945443,601225.SH
2025-02-08,26.14,26.56,26.12,26.31,3899360,601225.SH
2025-02-09,25.77,26.35,25.93,25.93,3252830,601225.SH
2025-02-10,25.31,25.67,25.2,25.48,2904604,601225.SH
2025-02-11,25.1,25.76,25.06,25.32,3363308,601225.SH
2025-02-12,25.04,25.45,25.18,25.24,2830556,601225.SH
2025-02-13,25.51,26.04,25.43,25.64,3431668,601225.SH
2025-02-14,25.19,25.31,25.15,25.22,3402511,601225.SH
2025-02-15,25.09,25.53,24.89,25.15,2900715,601225.SH
2025-02-16,25.11,25.54,24.61,25.11,3472045,601225.SH
2025-02-17,24.94,25.31,24.76,25.13,3540815,601225.SH
2025-02-18,24.56,24.79,24.4,24.66,2796371,601225.SH
2025-02-19,24.75,25.28,24.5,24.94,3359003,601225.SH
2025-02-20,24.31,24.96,24.46,24.51,2836933,601225.SH
2025-02-21,24.79,25.06,24.43,24.9,4046143,601225.SH
2025-02-22,24.33,24.93,23.99,24.45,3266610,601225.SH
2025-02-23,23.9,24.2,23.93,24.12,3338509,601225.SH
2025-02-24,23.8,24.11,23.71,23.94,3854985,601225.SH
2025-02-25,23.55,23.66,23.36,23.57,3047952,601225.SH
2025-02-26,23.08,23.29,23.0,23.19,3044526,601225.SH
2025-02-27,22.89,23.05,22.72,22.98,3894394,601225.SH
2025-02-28,22.38,22.79,22.27,22.59,2874422,601225.SH
2025-03-01,22.72,23.38,22.63,22.95,3749311,601225.SH
2025-03-02,22.39,22.69,22.35,22.53,4090004,601225.SH
2025-03-03,22.79,23.01,22.55,22.86,3757008,601225.SH
2025-03-04,22.45,23.06,22.56,22.65,3444013,601225.SH
2025-03-05,22.68,23.08,22.51,22.85,3596587,601225.SH
2025-03-06,22.4,22.53,22.19,22.5,4046044,601225.SH
2025-03-07,22.69,22.97,22.72,22.89,3143424,601225.SH
2025-03-08,22.36,22.86,22.22,22.57,3471944,601225.SH
2025-03-09,22.08,22.51,21.89,22.26,3340683,601225.SH
2025-03-10,21.85,22.5,21.79,22.06,2901263,601225.SH
2025-03-11,21.98,22.39,21.99,22.16,2820573,601225.SH
2025-03-12,21.77,21.85,21.57,21.79,3795284,601225.SH
2025-03-13,21.62,21.93,21.36,21.68,3543674,601225.SH
2025-03-14,21.45,21.69,21.37,21.6,2873763,601225.SH
2025-03-15,21.28,21.48,21.31,21.42,3794368,601225.SH
2025-03-16,21.58,21.99,21.62,21.8,3876839,601225.SH
2025-03-17,21.33,21.54,21.2,21.53,2940993,601225.SH
2025-03-18,21.28,21.71,21.29,21.3,3838572,601225.SH
2025-03-19,21.19,21.28,21.07,21.24,2736268,601225.SH
2025-03-20,21.21,21.44,21.03,21.37,3879006,601225.SH
2025-03-21,21.13,21.45,21.04,21.24,3661491,601225.SH
2025-03-22,20.71,21.02,20.63,20.9,3680396,601225.SH
2025-03-23,21.05,21.45,21.01,21.06,3141635,601225.SH
2025-03-24,20.8,21.06,20.92,20.96,2769219,601225.SH
2025-03-25,20.91,21.38,20.95,20.98,3575535,601225.SH
2025-03-26,20.82,20.93,20.53,20.88,2937999,601225.SH
2025-03-27,20.95,21.22,20.84,21.04,3233944,601225.SH
2025-03-28,21.11,21.3,21.14,21.24,3439341,601225.SH
2025-03-29,20.8,21.08,20.73,20.86,3297524,601225.SH
2025-03-30,20.29,20.6,20.06,20.46,3006354,601225.SH
2025-03-31,20.61,20.91,20.39,20.75,3504733,601225.SH
2025-04-01,20.97,21.47,20.77,21.15,3451647,601225.SH
2025-04-02,21.09,21.24,21.07,21.18,4030185,601225.SH
